INDEX,SHOOTER,X,Y,RANGE,DEFENDER,SCORE
0,Seth Curry,-3.808987264612848,5.5836210329779306,"(0, 4)",Chris Paul,MADE
1,Seth Curry,-0.1042785818707121,5.919137999129865,"(0, 4)",Trae Young,MADE
2,Seth Curry,-0.5258639738883018,8.91223947028746,"(0, 4)",Trae Young,MADE
3,Seth Curry,-0.7906163067308213,7.503781995732393,"(0, 4)",Chris Paul,MADE
4,Seth Curry,2.119074134577157,5.320533941377253,"(0, 4)",Trae Young,MADE
5,Seth Curry,0.7536142849155287,7.053553680921853,"(0, 4)",Chris Paul,MADE
6,Seth Curry,-2.535078337739349,5.6269159719909245,"(0, 4)",Russell Westbrook,MADE
7,Seth Curry,-3.236862719722141,6.619633480739427,"(0, 4)",Chris Paul,MADE
8,Seth Curry,2.045765211540049,8.142181667747595,"(0, 4)",Chris Paul,MADE
9,Seth Curry,2.8216087464886024,6.42686249918918,"(0, 4)",Chris Paul,MADE
10,Seth Curry,-3.5653972645374594,5.857231179400534,"(0, 4)",Trae Young,MADE
11,Seth Curry,0.2715221940412637,5.397550176846606,"(0, 4)",Trae Young,MISSED
12,Seth Curry,-2.373094260256837,6.130096993591397,"(0, 4)",Russell Westbrook,MISSED
13,Seth Curry,-1.6396772583071162,5.7373457977958715,"(0, 4)",Russell Westbrook,MISSED
14,Seth Curry,-2.099553198215926,6.559488872222957,"(0, 4)",Russell Westbrook,MISSED
15,Seth Curry,0.840827901086277,8.330372900490085,"(0, 4)",Russell Westbrook,MISSED
16,Seth Curry,-5.783569388642611,8.216536112281618,"(5, 9)",Trae Young,MADE
17,Seth Curry,1.1219727886110151,11.942689961085186,"(5, 9)",Russell Westbrook,MADE
18,Seth Curry,-2.5044678956548703,12.140492100520408,"(5, 9)",Trae Young,MADE
19,Seth Curry,2.8879326088863007,10.632597151548307,"(5, 9)",Trae Young,MADE
20,Seth Curry,3.1126125659413733,11.83442286110439,"(5, 9)",Chris Paul,MADE
21,Seth Curry,6.0263229880245595,8.536963391345937,"(5, 9)",Trae Young,MADE
22,Seth Curry,-4.587841330970633,11.74574291007642,"(5, 9)",Trae Young,MADE
23,Seth Curry,4.938713308316974,9.634100096088453,"(5, 9)",Trae Young,MADE
24,Seth Curry,-4.529730139406908,10.410632848383722,"(5, 9)",Trae Young,MISSED
25,Seth Curry,4.859280937251904,9.397550412511361,"(5, 9)",Chris Paul,MISSED
26,Seth Curry,-7.673401305698339,5.516084297010312,"(5, 9)",Russell Westbrook,MISSED
27,Seth Curry,7.087774379189594,7.182458796776952,"(5, 9)",Russell Westbrook,MISSED
28,Seth Curry,-12.22333478324553,6.936394740681578,"(10, 14)",Trae Young,MADE
29,Seth Curry,9.099430561018144,15.59080457522083,"(10, 14)",Trae Young,MADE
30,Seth Curry,7.351106861896578,14.569725757599247,"(10, 14)",Trae Young,MADE
31,Seth Curry,12.203405565543251,9.242282586792285,"(10, 14)",Trae Young,MADE
32,Seth Curry,-3.0583529732171018,17.02510336719498,"(10, 14)",Trae Young,MADE
33,Seth Curry,-13.6518105178394,5.775612252601881,"(10, 14)",Russell Westbrook,MISSED
34,Seth Curry,3.426317347173276,17.349370983359726,"(10, 14)",Russell Westbrook,MISSED
35,Seth Curry,12.666616559796164,5.678806574446069,"(10, 14)",Russell Westbrook,MISSED
36,Seth Curry,-10.108484645859642,11.516315169169882,"(10, 14)",Russell Westbrook,MISSED
37,Seth Curry,12.091995742784764,5.9242985148266065,"(10, 14)",Chris Paul,MISSED
38,Seth Curry,12.192265102835789,6.182529386649538,"(10, 14)",Russell Westbrook,MISSED
39,Seth Curry,-12.531259232918243,9.500086062207917,"(10, 14)",Chris Paul,MISSED
40,Seth Curry,13.25333413230419,16.355372336747244,"(15, 19)",Chris Paul,MADE
41,Seth Curry,17.273661490723583,7.618933194929607,"(15, 19)",Trae Young,MADE
42,Seth Curry,16.772738331419944,10.455430806246838,"(15, 19)",Russell Westbrook,MADE
43,Seth Curry,11.302658350154484,16.819926614793737,"(15, 19)",Chris Paul,MADE
44,Seth Curry,15.735369669943896,11.470299788104297,"(15, 19)",Russell Westbrook,MADE
45,Seth Curry,-5.458567200768034,22.1335870236286,"(15, 19)",Trae Young,MADE
46,Seth Curry,14.313989065305073,13.687587145225207,"(15, 19)",Russell Westbrook,MADE
47,Seth Curry,-2.946763401686399,23.033215277522643,"(15, 19)",Trae Young,MADE
48,Seth Curry,-2.0956491627589267,22.93201989532632,"(15, 19)",Trae Young,MADE
49,Seth Curry,5.629904584026634,22.720644771115946,"(15, 19)",Trae Young,MADE
50,Seth Curry,-16.088311133196367,9.912027921437623,"(15, 19)",Trae Young,MADE
51,Seth Curry,-13.587824894095782,14.081271198266105,"(15, 19)",Trae Young,MADE
52,Seth Curry,-15.123751719274052,11.67319221417122,"(15, 19)",Russell Westbrook,MADE
53,Seth Curry,4.984160925708646,21.78449730069493,"(15, 19)",Russell Westbrook,MISSED
54,Seth Curry,5.38692547939681,22.12214268097598,"(15, 19)",Russell Westbrook,MISSED
55,Seth Curry,14.63856269257328,11.586823267862082,"(15, 19)",Trae Young,MISSED
56,Seth Curry,5.314492720700432,21.519179383658834,"(15, 19)",Trae Young,MISSED
57,Seth Curry,-14.474827223667717,12.723421566977281,"(15, 19)",Russell Westbrook,MISSED
58,Seth Curry,-21.16273867073181,13.681995893267123,"(20, 24)",Trae Young,MADE
59,Seth Curry,-21.337321253173624,9.692615753624452,"(20, 24)",Trae Young,MADE
60,Seth Curry,-11.832006819420377,22.080053435993303,"(20, 24)",Chris Paul,MADE
61,Seth Curry,-15.641748248534231,20.964640008589804,"(20, 24)",Chris Paul,MADE
62,Seth Curry,0.1728643098226112,26.83685087766556,"(20, 24)",Trae Young,MADE
63,Seth Curry,21.99983444436368,11.66522361157736,"(20, 24)",Trae Young,MADE
64,Seth Curry,11.483431651682707,23.15631547511823,"(20, 24)",Trae Young,MADE
65,Seth Curry,-20.73858814902904,6.396796779101457,"(20, 24)",Chris Paul,MADE
66,Seth Curry,-20.24220667438748,13.514460075680422,"(20, 24)",Russell Westbrook,MADE
67,Seth Curry,13.7465739054672,24.464008088572708,"(20, 24)",Chris Paul,MADE
68,Seth Curry,15.35939592933074,22.958301705167393,"(20, 24)",Trae Young,MADE
69,Seth Curry,-0.8784654594485175,28.506969699355707,"(20, 24)",Trae Young,MADE
70,Seth Curry,-22.01824377562609,12.370524474151246,"(20, 24)",Trae Young,MADE
71,Seth Curry,14.296387749095471,23.44298677912864,"(20, 24)",Trae Young,MADE
72,Seth Curry,5.6754760220526475,27.27740682097305,"(20, 24)",Trae Young,MADE
73,Seth Curry,-13.329036148606155,22.06221899344064,"(20, 24)",Trae Young,MADE
74,Seth Curry,-19.82578741371541,13.90634465376824,"(20, 24)",Chris Paul,MADE
75,Seth Curry,-9.002294524915364,24.16419239428302,"(20, 24)",Chris Paul,MADE
76,Seth Curry,-13.078475725978544,20.57797203470701,"(20, 24)",Chris Paul,MADE
77,Seth Curry,20.036232616666215,15.106783571319724,"(20, 24)",Trae Young,MADE
78,Seth Curry,3.0381148311923054,27.57968137461343,"(20, 24)",Russell Westbrook,MISSED
79,Seth Curry,-8.254163045549502,24.582278950991867,"(20, 24)",Russell Westbrook,MISSED
80,Seth Curry,17.162547000127496,21.342316519056805,"(20, 24)",Chris Paul,MISSED
81,Seth Curry,-17.62497762944778,20.950920053421946,"(20, 24)",Russell Westbrook,MISSED
82,Seth Curry,19.89282872151643,13.463674864335863,"(20, 24)",Chris Paul,MISSED
83,Seth Curry,1.5119342113289236,28.10534723183811,"(20, 24)",Russell Westbrook,MISSED
84,Seth Curry,-10.797996904975042,23.143832936374945,"(20, 24)",Chris Paul,MISSED
85,Seth Curry,-11.630727404803338,21.952119398484427,"(20, 24)",Russell Westbrook,MISSED
86,Seth Curry,17.197427698630037,20.45955847636205,"(20, 24)",Russell Westbrook,MISSED
87,Seth Curry,17.72305826782285,15.580356629067335,"(20, 24)",Chris Paul,MISSED
88,Seth Curry,-13.850067061826175,29.59983168518552,"(25, 29)",Chris Paul,MADE
89,Seth Curry,-5.54442192374046,31.635445882926064,"(25, 29)",Chris Paul,MADE
90,Seth Curry,14.332740856568329,27.115709980487523,"(25, 29)",Russell Westbrook,MADE
91,Seth Curry,-24.232051962286132,5.8291528529376,"(25, 29)",Russell Westbrook,MADE
92,Seth Curry,23.63156979117848,19.819888547886173,"(25, 29)",Trae Young,MADE
93,Seth Curry,21.735183322952576,23.04530753632852,"(25, 29)",Russell Westbrook,MADE
94,Seth Curry,23.103878202841678,19.068524344673627,"(25, 29)",Trae Young,MADE
95,Seth Curry,23.25873970589328,18.248422682297218,"(25, 29)",Chris Paul,MADE
96,Seth Curry,-24.232051962286132,15.209513138169015,"(25, 29)",Trae Young,MADE
97,Seth Curry,23.952741768012565,10.040589330375091,"(25, 29)",Chris Paul,MADE
98,Seth Curry,23.718345312529667,15.819713025937848,"(25, 29)",Chris Paul,MADE
99,Seth Curry,-0.8565501786343312,33.8539132503339,"(25, 29)",Trae Young,MADE
100,Seth Curry,-10.565694966853108,29.931969978446208,"(25, 29)",Trae Young,MADE
101,Seth Curry,23.952741768012565,10.814009942023183,"(25, 29)",Trae Young,MADE
102,Seth Curry,-0.5258956576119224,32.0298520755492,"(25, 29)",Trae Young,MADE
103,Seth Curry,-17.173028588834516,26.28648529218912,"(25, 29)",Chris Paul,MADE
104,Seth Curry,23.952741768012565,11.105474411985142,"(25, 29)",Trae Young,MADE
105,Seth Curry,-24.232051962286132,7.488300743994873,"(25, 29)",Chris Paul,MADE
106,Seth Curry,13.35256394182266,28.61975372889327,"(25, 29)",Chris Paul,MADE
107,Seth Curry,23.952741768012565,8.006672837757478,"(25, 29)",Trae Young,MADE
108,Seth Curry,-24.232051962286132,10.648430015276997,"(25, 29)",Trae Young,MADE
109,Seth Curry,-24.232051962286132,10.77581291240895,"(25, 29)",Chris Paul,MADE
110,Seth Curry,23.952741768012565,12.047012870031299,"(25, 29)",Trae Young,MADE
111,Seth Curry,-9.082593539581183,29.508564685466627,"(25, 29)",Russell Westbrook,MADE
112,Seth Curry,22.354420497475267,16.432122097745903,"(25, 29)",Russell Westbrook,MADE
113,Seth Curry,15.764257665318018,25.432070709440488,"(25, 29)",Trae Young,MADE
114,Seth Curry,21.031978200023133,22.601231315763606,"(25, 29)",Chris Paul,MADE
115,Seth Curry,23.952741768012565,16.584049963105883,"(25, 29)",Trae Young,MADE
116,Seth Curry,-15.512576508660027,25.69786153965527,"(25, 29)",Chris Paul,MISSED
117,Seth Curry,-0.9267230429773576,33.07374584605671,"(25, 29)",Russell Westbrook,MISSED
118,Seth Curry,21.132296808206352,24.55427511542173,"(25, 29)",Russell Westbrook,MISSED
119,Seth Curry,-1.4827013726402374,33.379903012195285,"(25, 29)",Russell Westbrook,MISSED
120,Seth Curry,-18.21228325784804,27.092587610242497,"(25, 29)",Russell Westbrook,MISSED
121,Seth Curry,-20.419808406246283,24.37176949080113,"(25, 29)",Chris Paul,MISSED
122,Seth Curry,9.86374411892875,31.946598340438435,"(25, 29)",Russell Westbrook,MISSED
123,Seth Curry,-5.625002218871988,30.56237376330286,"(25, 29)",Russell Westbrook,MISSED
124,Seth Curry,22.277930233939944,21.355251981717856,"(25, 29)",Russell Westbrook,MISSED
125,Seth Curry,-22.765855167827656,19.897506148197888,"(25, 29)",Russell Westbrook,MISSED
126,Seth Curry,21.170192908095487,21.904006456193404,"(25, 29)",Trae Young,MISSED
127,Seth Curry,9.428626792028725,31.410087512198515,"(25, 29)",Russell Westbrook,MISSED
128,Seth Curry,-3.563702747807051,33.09828902774769,"(25, 29)",Trae Young,MISSED
129,Seth Curry,21.814117764458896,22.86254857217479,"(25, 29)",Russell Westbrook,MISSED
130,Seth Curry,-24.232051962286132,9.884216526078175,"(25, 29)",Russell Westbrook,MISSED
131,Seth Curry,-15.248232497973468,26.993551960423822,"(25, 29)",Chris Paul,MISSED
132,Seth Curry,-24.232051962286132,10.584393613827716,"(25, 29)",Chris Paul,MISSED
133,Seth Curry,-16.928815912536695,27.84844396015097,"(25, 29)",Chris Paul,MISSED
134,Seth Curry,23.952741768012565,18.765181938937403,"(25, 29)",Russell Westbrook,MISSED
135,Seth Curry,4.076880348052256,33.66997513194421,"(25, 29)",Russell Westbrook,MISSED
136,Seth Curry,1.1360745187164625,33.40659457237429,"(25, 29)",Trae Young,MISSED
137,Seth Curry,-5.35280281574214,31.73619896843124,"(25, 29)",Chris Paul,MISSED
138,Seth Curry,-22.934053093842117,19.764229541373233,"(25, 29)",Chris Paul,MISSED
139,Seth Curry,-13.299950218209531,29.318795530999694,"(25, 29)",Chris Paul,MISSED
140,Seth Curry,22.14586985380573,23.49260755300829,"(25, 29)",Russell Westbrook,MISSED
141,Seth Curry,8.607404620738132,32.452039327498284,"(25, 29)",Chris Paul,MISSED
142,Seth Curry,-24.515616965404053,18.251210241287044,"(25, 29)",Russell Westbrook,MISSED
143,Seth Curry,-24.232051962286132,6.276173408087479,"(25, 29)",Chris Paul,MISSED
144,Seth Curry,10.605381656432604,31.328311488407067,"(25, 29)",Chris Paul,MISSED
145,Seth Curry,19.56343818770989,26.3425946857592,"(25, 29)",Russell Westbrook,MISSED
146,Seth Curry,-23.413764777215462,16.692071985282432,"(25, 29)",Chris Paul,MISSED
147,Chris Paul,-1.2950785682678188,5.741176003021488,"(0, 4)",Seth Curry,MADE
148,Chris Paul,2.0888717940928654,6.454242646815701,"(0, 4)",Seth Curry,MADE
149,Chris Paul,2.1494370002654386,8.138149332017178,"(0, 4)",Trae Young,MADE
150,Chris Paul,1.5238362868755386,8.1541982465375,"(0, 4)",Trae Young,MADE
151,Chris Paul,-2.7211356222671155,5.008910686554991,"(0, 4)",Seth Curry,MADE
152,Chris Paul,-3.6144517487370966,6.315926452249626,"(0, 4)",Seth Curry,MADE
153,Chris Paul,1.2291365386032138,6.054092040007558,"(0, 4)",Trae Young,MADE
154,Chris Paul,-1.3411534117789747,5.819614133290027,"(0, 4)",Seth Curry,MADE
155,Chris Paul,-0.4335289557053064,7.111100944497741,"(0, 4)",Seth Curry,MADE
156,Chris Paul,-2.48605737150412,7.1837753648362135,"(0, 4)",Russell Westbrook,MADE
157,Chris Paul,0.7156280097660953,6.380443790559522,"(0, 4)",Trae Young,MADE
158,Chris Paul,-0.0277174728191804,5.051972178592998,"(0, 4)",Trae Young,MADE
159,Chris Paul,1.6283943309170064,5.922509633953217,"(0, 4)",Russell Westbrook,MISSED
160,Chris Paul,-0.7635698445128962,6.3585472131374265,"(0, 4)",Trae Young,MISSED
161,Chris Paul,-0.0938503853789594,5.8795179315242425,"(0, 4)",Russell Westbrook,MISSED
162,Chris Paul,2.7049401159161133,6.92315966780621,"(0, 4)",Russell Westbrook,MISSED
163,Chris Paul,-1.54089691994975,13.056569024798897,"(5, 9)",Seth Curry,MADE
164,Chris Paul,5.465279125030282,9.571630412642364,"(5, 9)",Russell Westbrook,MADE
165,Chris Paul,-2.718660181047148,13.096314302547778,"(5, 9)",Trae Young,MADE
166,Chris Paul,-7.4645171567622866,6.718978976932927,"(5, 9)",Trae Young,MADE
167,Chris Paul,8.408194165531734,7.137480105475976,"(5, 9)",Trae Young,MADE
168,Chris Paul,-5.427077427437313,9.138327691693114,"(5, 9)",Trae Young,MADE
169,Chris Paul,-0.8895545947643004,12.06181710214244,"(5, 9)",Trae Young,MADE
170,Chris Paul,2.1733609555385263,9.862637981960459,"(5, 9)",Trae Young,MADE
171,Chris Paul,7.536743392397659,8.823087351275511,"(5, 9)",Seth Curry,MADE
172,Chris Paul,-7.1224363598488365,9.025922458728449,"(5, 9)",Trae Young,MADE
173,Chris Paul,5.478969819241875,11.145458047617147,"(5, 9)",Seth Curry,MADE
174,Chris Paul,-3.1459024358463803,12.74534194308896,"(5, 9)",Russell Westbrook,MADE
175,Chris Paul,4.673656795437116,11.529541920506578,"(5, 9)",Seth Curry,MADE
176,Chris Paul,-2.6608661467118315,12.193315266346831,"(5, 9)",Trae Young,MISSED
177,Chris Paul,2.909557449278217,12.997630502191498,"(5, 9)",Russell Westbrook,MISSED
178,Chris Paul,1.083251473828782,11.370478720742806,"(5, 9)",Seth Curry,MISSED
179,Chris Paul,-3.6463697898214944,11.576713503997555,"(5, 9)",Russell Westbrook,MISSED
180,Chris Paul,-4.874868710435405,9.440577825383075,"(5, 9)",Seth Curry,MISSED
181,Chris Paul,-8.218299906900922,6.847082625084097,"(5, 9)",Trae Young,MISSED
182,Chris Paul,-8.27143688152895,6.989700002020555,"(5, 9)",Seth Curry,MISSED
183,Chris Paul,3.9449321110453055,12.1720131478082,"(5, 9)",Trae Young,MISSED
184,Chris Paul,8.876402537542921,6.26315682523121,"(5, 9)",Seth Curry,MISSED
185,Chris Paul,11.673403238397468,8.824160068746108,"(10, 14)",Trae Young,MADE
186,Chris Paul,11.676981266762136,9.520077084138554,"(10, 14)",Seth Curry,MADE
187,Chris Paul,6.503316198161639,17.174113352838134,"(10, 14)",Seth Curry,MADE
188,Chris Paul,-10.272902713844411,9.485194969297961,"(10, 14)",Trae Young,MADE
189,Chris Paul,-11.474444341087382,10.855752396000973,"(10, 14)",Trae Young,MADE
190,Chris Paul,5.041494804190289,14.775751573152782,"(10, 14)",Trae Young,MADE
191,Chris Paul,-5.636157316645927,17.079695092431542,"(10, 14)",Russell Westbrook,MADE
192,Chris Paul,5.317586635660892,16.648135018059016,"(10, 14)",Trae Young,MADE
193,Chris Paul,11.787116365156567,5.615537515474683,"(10, 14)",Russell Westbrook,MADE
194,Chris Paul,2.1566456669443657,16.48140399200305,"(10, 14)",Trae Young,MADE
195,Chris Paul,12.16710082009046,7.08434706062215,"(10, 14)",Trae Young,MADE
196,Chris Paul,11.527243647192176,8.078359943460558,"(10, 14)",Seth Curry,MADE
197,Chris Paul,-6.131698156869225,14.438577524327405,"(10, 14)",Trae Young,MADE
198,Chris Paul,10.9641247647611,13.363260248155948,"(10, 14)",Seth Curry,MADE
199,Chris Paul,3.7305608082224575,15.309314521263225,"(10, 14)",Trae Young,MADE
200,Chris Paul,7.58795073145556,16.60862505130215,"(10, 14)",Seth Curry,MADE
201,Chris Paul,8.805024653891167,13.394552390812377,"(10, 14)",Trae Young,MADE
202,Chris Paul,-0.4630720445694107,17.9985561000592,"(10, 14)",Trae Young,MADE
203,Chris Paul,8.732086410442573,11.331568728698173,"(10, 14)",Seth Curry,MADE
204,Chris Paul,-3.0338001449152725,18.28078048955109,"(10, 14)",Trae Young,MADE
205,Chris Paul,-2.8875178881494974,17.767918453644135,"(10, 14)",Trae Young,MADE
206,Chris Paul,-0.7026059846881177,18.921294050858886,"(10, 14)",Seth Curry,MADE
207,Chris Paul,10.766825646077551,13.20012952816078,"(10, 14)",Russell Westbrook,MADE
208,Chris Paul,5.77039716756858,16.14480345455228,"(10, 14)",Russell Westbrook,MADE
209,Chris Paul,-4.680099824826254,16.169818856632183,"(10, 14)",Seth Curry,MADE
210,Chris Paul,-5.361208775582598,17.00117062096043,"(10, 14)",Seth Curry,MADE
211,Chris Paul,-5.99382402280669,17.27557802578331,"(10, 14)",Trae Young,MADE
212,Chris Paul,-7.258707083639786,12.24398505413886,"(10, 14)",Trae Young,MADE
213,Chris Paul,11.713989381044644,9.18698754701636,"(10, 14)",Seth Curry,MISSED
214,Chris Paul,-12.42306402592267,8.54237151685618,"(10, 14)",Russell Westbrook,MISSED
215,Chris Paul,2.362769129687216,18.768639111459876,"(10, 14)",Russell Westbrook,MISSED
216,Chris Paul,-0.1888807974699266,16.96007081149823,"(10, 14)",Trae Young,MISSED
217,Chris Paul,-4.685722870546632,17.16072192902171,"(10, 14)",Russell Westbrook,MISSED
218,Chris Paul,-1.863158825856376,18.289366326154724,"(10, 14)",Trae Young,MISSED
219,Chris Paul,3.1309651586254605,17.20062546194945,"(10, 14)",Seth Curry,MISSED
220,Chris Paul,-9.04485604087556,10.292500507055232,"(10, 14)",Seth Curry,MISSED
221,Chris Paul,5.381145883298113,15.69266952091317,"(10, 14)",Seth Curry,MISSED
222,Chris Paul,-10.1903613773195,9.778209057266945,"(10, 14)",Russell Westbrook,MISSED
223,Chris Paul,10.826539182918989,11.267800583985633,"(10, 14)",Seth Curry,MISSED
224,Chris Paul,-7.970606805696874,14.537282607688645,"(10, 14)",Trae Young,MISSED
225,Chris Paul,-9.622014887330621,13.900993817803526,"(10, 14)",Russell Westbrook,MISSED
226,Chris Paul,10.824464746535876,13.19194639591087,"(10, 14)",Seth Curry,MISSED
227,Chris Paul,0.0175531736339821,18.965952101332675,"(10, 14)",Russell Westbrook,MISSED
228,Chris Paul,-1.997111140344416,18.22214919408885,"(10, 14)",Seth Curry,MISSED
229,Chris Paul,-11.51224820160232,6.539199317245281,"(10, 14)",Russell Westbrook,MISSED
230,Chris Paul,-6.6202590792569564,15.206113754409401,"(10, 14)",Russell Westbrook,MISSED
231,Chris Paul,-13.338672969298855,8.943044305835784,"(10, 14)",Trae Young,MISSED
232,Chris Paul,12.15784923118404,8.130453323095052,"(10, 14)",Trae Young,MISSED
233,Chris Paul,-10.818719331745283,8.499290392445854,"(10, 14)",Russell Westbrook,MISSED
234,Chris Paul,7.4554764185664,16.723951707418347,"(10, 14)",Russell Westbrook,MISSED
235,Chris Paul,-6.937014324743437,14.783039981427205,"(10, 14)",Seth Curry,MISSED
236,Chris Paul,1.0879104354175206,17.6682972460601,"(10, 14)",Trae Young,MISSED
237,Chris Paul,1.624684324036899,18.64469855592853,"(10, 14)",Seth Curry,MISSED
238,Chris Paul,11.821362610029526,5.682096062760148,"(10, 14)",Seth Curry,MISSED
239,Chris Paul,7.757945578590939,14.364466723892873,"(10, 14)",Trae Young,MISSED
240,Chris Paul,-12.777350489134074,9.142640447582872,"(10, 14)",Trae Young,MISSED
241,Chris Paul,-3.0177540876853866,17.013075343998352,"(10, 14)",Russell Westbrook,MISSED
242,Chris Paul,-11.24499043506052,5.4758876686403966,"(10, 14)",Seth Curry,MISSED
243,Chris Paul,10.432672200156208,12.410744049595063,"(10, 14)",Seth Curry,MISSED
244,Chris Paul,3.330331876151722,17.93362016417163,"(10, 14)",Russell Westbrook,MISSED
245,Chris Paul,-12.331536571753556,9.311635431638125,"(10, 14)",Russell Westbrook,MISSED
246,Chris Paul,-1.70735900369581,23.44217634652384,"(15, 19)",Trae Young,MADE
247,Chris Paul,-16.15147865045402,9.921148738325364,"(15, 19)",Seth Curry,MADE
248,Chris Paul,-15.875238628515689,14.488593454276494,"(15, 19)",Trae Young,MADE
249,Chris Paul,-4.290076951364475,23.416030728042795,"(15, 19)",Trae Young,MADE
250,Chris Paul,-8.568365378545046,19.507124689311638,"(15, 19)",Trae Young,MADE
251,Chris Paul,2.300994900304433,23.190699412248343,"(15, 19)",Seth Curry,MADE
252,Chris Paul,-8.161535486882212,21.09501867263083,"(15, 19)",Trae Young,MADE
253,Chris Paul,4.450744587734415,22.15171839706673,"(15, 19)",Russell Westbrook,MADE
254,Chris Paul,10.684095485668225,18.84460835985797,"(15, 19)",Seth Curry,MADE
255,Chris Paul,16.66611666344416,13.55585096295462,"(15, 19)",Seth Curry,MADE
256,Chris Paul,-17.44640541885115,5.244970145438755,"(15, 19)",Trae Young,MADE
257,Chris Paul,-12.384343843828628,16.970968302110254,"(15, 19)",Russell Westbrook,MADE
258,Chris Paul,-9.71370640059716,18.243427291562448,"(15, 19)",Trae Young,MADE
259,Chris Paul,4.268643039644078,22.370118921340723,"(15, 19)",Seth Curry,MADE
260,Chris Paul,6.946692034178429,21.77386381880869,"(15, 19)",Russell Westbrook,MADE
261,Chris Paul,14.866046085833048,14.827349178625177,"(15, 19)",Trae Young,MADE
